middleschool,variable.x,est,se
Clarke,vote_year0,3112.56974,358.1998556486509
Coile,vote_year0,2007.4171468,164.19216112073693
Hilsman,vote_year0,3320.0084872,307.7563176295611
BHLyons,vote_year1,5370.359823,226.89820817459164
Clarke,vote_year1,11006.0076238,377.19393012083077
Coile,vote_year1,3587.6366312,169.7274765770982
Hilsman,vote_year1,9668.3404825,324.45887206981376
BHLyons,petition_year0,4517.77157,239.51872971374846
Clarke,petition_year0,7134.075157,435.9072700933237
Coile,petition_year0,3705.7131950000003,170.38198191339526
Hilsman,petition_year0,6837.9386106,364.49631499813813
BHLyons,petition_year1,2722.208012,227.55889963965726
